cvss,vuln_age_days,access_vector_enc,access_complexity_enc,access_authentication_enc,impact_confidentiality_enc,impact_integrity_enc,impact_availability_enc,cwe_group_enc,kw_remote,kw_code_exec,kw_priv_esc,kw_dos
10.0,5799,3,2,2,2,2,2,2,1,0,0,0
10.0,5805,3,2,2,2,2,2,3,1,0,0,0
10.0,5817,3,2,2,2,2,2,2,1,0,0,0
10.0,3010,3,2,2,2,2,2,3,0,0,0,0
10.0,3217,3,2,2,2,2,2,3,0,1,1,0
10.0,3190,3,2,2,2,2,2,3,1,1,0,0
10.0,2309,3,2,2,2,2,2,3,1,0,0,0
10.0,2285,3,2,2,2,2,2,2,0,0,0,0
10.0,2285,3,2,2,2,2,2,3,0,0,0,0
10.0,2285,3,2,2,2,2,2,3,0,0,0,0
10.0,2339,3,2,2,2,2,2,2,1,0,0,0
10.0,2290,3,2,2,2,2,2,0,0,0,0,0
10.0,2288,3,2,2,2,2,2,3,0,1,0,0
10.0,2288,3,2,2,2,2,2,3,0,0,0,0
10.0,5217,3,2,2,2,2,2,0,0,0,0,0
10.0,5699,3,2,2,2,2,2,2,1,0,0,1
10.0,5804,3,2,2,2,2,2,2,1,0,0,1
10.0,5826,3,2,2,2,2,2,3,0,0,0,0
10.0,2642,3,2,2,2,2,2,2,1,1,0,0
10.0,2474,3,2,2,2,2,2,3,0,1,0,0
10.0,6292,3,2,2,2,2,2,3,1,0,0,1
10.0,2302,3,2,2,2,2,2,3,0,0,0,0
10.0,3493,3,2,2,2,2,2,3,0,0,0,0
10.0,2685,3,2,2,2,2,2,3,0,0,0,0
10.0,2367,3,2,2,2,2,2,3,1,0,0,0
10.0,2367,3,2,2,2,2,2,3,1,0,0,0
10.0,3206,3,2,2,2,2,2,3,0,0,0,0
10.0,3206,3,2,2,2,2,2,3,0,0,0,0
10.0,2240,0,-1,-1,0,0,0,3,0,0,0,0
10.0,5665,3,2,2,2,2,2,2,1,0,0,0
10.0,5665,3,2,2,2,2,2,3,1,0,0,0
10.0,5760,3,2,2,2,2,2,3,1,0,0,0
10.0,5679,3,2,2,2,2,2,2,1,0,0,0
10.0,5679,3,2,2,2,2,2,3,1,0,0,0
10.0,5679,3,2,2,2,2,2,3,1,0,0,1
10.0,5698,3,2,2,2,2,2,3,1,0,0,0
10.0,3206,3,2,2,2,2,2,3,0,0,0,0
10.0,3230,3,2,2,2,2,2,3,0,0,0,0
10.0,2299,3,2,2,2,2,2,3,1,0,0,0
10.0,2330,3,2,2,2,2,2,3,0,0,0,0
