CVE-2021-44228
CVE-2021-45046
CVE-2017-5638
CVE-2014-0160
CVE-2018-7600
CVE-2019-0708
CVE-2020-1472
CVE-2017-0144
CVE-2012-0158
CVE-2015-1635
CVE-2016-5195
CVE-2013-2251
CVE-2018-4878
CVE-2019-19781
CVE-2020-5902
CVE-2017-10271
CVE-2019-11510
CVE-2016-10134
CVE-2015-4852
CVE-2017-9805
CVE-2020-2555
CVE-2018-15982
CVE-2014-6271
CVE-2017-5689
CVE-2019-3396
CVE-2020-0601
CVE-2016-6662
CVE-2019-0232
CVE-2015-0204
CVE-2012-1823
CVE-2017-12615
CVE-2018-11776
CVE-2020-1938
CVE-2016-3088
CVE-2019-7609
CVE-2015-5122
CVE-2014-4114
CVE-2017-0199
CVE-2018-8174
CVE-2013-0422
CVE-2019-0803
CVE-2015-2426
CVE-2016-7255
CVE-2018-8639
CVE-2014-6352
CVE-2019-10149
CVE-2017-12149
CVE-2020-0796
CVE-2016-10033
